-13.994527,-369.808422,-72.835238,0.153245
-13.942245,-368.548646,-74.337986,0.148219
-14.660174,-368.198891,-72.615976,0.141432
-43.341769,-385.419854,-51.962278,0.145556
-44.542275,-385.648774,-53.615043,0.160208
-43.270850,-386.316765,-54.167993,0.148476
-14.820750,-368.598376,-70.765476,0.142191
-14.134032,-371.068622,-71.370354,0.170457
-15.800269,-364.457103,-71.859553,0.132572
-15.908759,-366.324800,-72.242064,0.110373
-15.459105,-364.545811,-73.272625,0.113963
-14.902712,-366.484802,-74.227065,0.101653
-44.299795,-386.037786,-55.497617,0.161567
-45.726870,-385.316669,-55.093464,0.187884
-42.027245,-386.755128,-54.917731,0.151158
-42.745634,-386.617959,-55.991913,0.151816
-32.646698,-377.507493,-44.916797,0.119631
-34.754259,-377.199127,-44.876892,0.121808
-33.766573,-378.920446,-45.514758,0.121758
-35.789781,-378.783794,-45.624993,0.121526
-14.238726,-370.190552,-69.421798,0.151319
-15.093768,-368.241786,-68.942202,0.136567
-14.376458,-372.354848,-69.904073,0.174327
-14.534022,-369.758074,-67.644244,0.157636
-15.235740,-368.093039,-67.069261,0.134031
-14.779276,-369.658238,-65.892779,0.156405
-15.474206,-367.944132,-65.170083,0.116471
-15.044033,-369.636706,-64.054556,0.143567
-15.847763,-367.957030,-63.312914,0.107720
-15.458049,-369.603882,-62.184016,0.135283
-16.267201,-367.999234,-61.451765,0.102012
-46.401892,-384.700888,-53.629003,0.190294
-45.466580,-384.580110,-52.090151,0.172457
-14.246493,-371.629197,-68.077164,0.158333
-14.759688,-373.585869,-68.426724,0.158452
-44.201756,-384.009049,-50.542547,0.148228
-42.109531,-384.837159,-50.482865,0.125109
-15.176003,-374.848255,-66.993721,0.174455
-14.553526,-372.810246,-66.702744,0.160707
-15.639217,-376.199844,-65.648140,0.172340
-14.850457,-373.967249,-65.311906,0.157174
-15.916384,-377.366415,-64.095920,0.186298
-15.111769,-375.069907,-63.829531,0.169673
-16.048749,-369.577279,-60.355429,0.130752
-16.738618,-367.797742,-59.611882,0.099496
-16.533401,-378.578271,-62.748468,0.164565
-15.569596,-376.020521,-61.919606,0.160257
-42.791586,-383.247477,-49.259445,0.126800
-40.730655,-384.014069,-49.234438,0.117841
-16.734158,-369.492409,-58.541997,0.125279
-17.345527,-367.526482,-57.817785,0.104496
-14.764379,-364.578372,-75.150192,0.129282
-14.015079,-366.722139,-76.319865,0.104418
-41.542730,-386.412349,-52.725326,0.133624
-40.105846,-387.097969,-54.767397,0.156465
-39.332883,-386.714832,-52.753295,0.139152
-38.169631,-387.316032,-54.549421,0.160150
-37.434675,-386.816388,-52.648561,0.144819
-36.229769,-387.375657,-54.283001,0.153467
-35.520875,-386.802282,-52.437492,0.144959
-34.288676,-387.291133,-54.029850,0.153190
-33.545047,-386.624914,-52.291625,0.140090
-32.351398,-387.076424,-53.893072,0.158417
-31.588722,-386.315923,-52.238629,0.138541
-30.430686,-386.738556,-53.906329,0.154132
-29.670539,-385.871310,-52.228044,0.145132
-28.590853,-386.154559,-53.655443,0.155463
-41.331251,-382.290627,-48.309126,0.121166
-39.225028,-382.997912,-48.278548,0.109478
-40.012078,-381.180381,-47.440154,0.118123
-38.036462,-381.690815,-47.346240,0.111903
-38.873528,-379.896009,-46.621861,0.114607
-37.062642,-380.179026,-46.421042,0.116697
-34.931997,-380.368534,-46.269162,0.116442
-36.063381,-381.777590,-47.158719,0.112646
-45.405917,-385.510271,-56.871909,0.185144
-47.024179,-384.569901,-56.290255,0.165304
-46.425333,-384.723705,-58.257132,0.172669
-47.894205,-383.660818,-57.722890,0.183671
-47.193989,-383.493043,-59.577411,0.168942
-48.521652,-382.410553,-59.051407,0.200734
-37.162141,-383.194716,-48.252542,0.106682
-37.798093,-378.526200,-45.818037,0.115423
-36.704356,-377.048988,-45.167075,0.118722
-40.121157,-385.642272,-50.908495,0.115779
-38.379208,-384.756595,-49.606251,0.109699
-17.505841,-379.903315,-61.652981,0.146557
-16.451929,-377.982968,-60.665265,0.140788
-18.503074,-381.007085,-60.404956,0.128181
-17.482000,-379.353325,-59.560080,0.125625
-19.551362,-381.889498,-59.009601,0.127370
-18.502650,-380.429546,-58.336084,0.122865
-20.708517,-382.590181,-57.593573,0.143206
-19.612591,-381.297286,-57.026150,0.127718
-21.942837,-383.252384,-56.297187,0.149197
-20.920733,-382.013923,-55.732903,0.153481
-27.784436,-385.264465,-52.361729,0.145152
-26.731177,-385.629750,-53.971221,0.163757
-25.938341,-384.512576,-52.787144,0.163760
-24.991842,-384.868482,-54.465904,0.158076
-40.993078,-387.060856,-56.259907,0.155969
-39.037056,-387.366017,-56.219140,0.157971
-37.042860,-387.547835,-56.045548,0.170009
-35.078762,-387.544872,-55.830470,0.162040
-33.144036,-387.411399,-55.654071,0.163126
-31.213987,-387.154860,-55.534510,0.162237
-29.319504,-386.793358,-55.404691,0.163508
-27.514805,-386.313640,-55.340429,0.154414
-26.031836,-385.812414,-55.315280,0.152613
-23.485205,-384.145452,-55.448681,0.165463
-24.846333,-385.301956,-56.158183,0.156071
-23.472893,-384.591139,-57.202748,0.161295
-22.125384,-383.855995,-58.348392,0.149364
-20.902327,-383.067632,-59.622933,0.130447
-19.755110,-382.248657,-60.971229,0.133200
-18.698630,-381.223411,-62.290171,0.144205
-17.686425,-380.129213,-63.538069,0.158220
-16.942252,-378.876986,-64.824043,0.166973
-16.429407,-377.657847,-66.157528,0.166265
-15.956456,-376.481864,-67.529848,0.146822
-15.435053,-375.297259,-68.914362,0.169641
-14.882120,-374.126198,-70.335143,0.179076
-14.361428,-372.915094,-71.770386,0.174354
-13.788077,-371.658265,-73.189228,0.152235
-13.299389,-370.230984,-74.707205,0.138205
-13.240386,-368.677062,-76.375747,0.144490
-30.534265,-377.196329,-45.123263,0.115616
-31.628157,-378.971060,-45.632974,0.121535
-28.537002,-376.430755,-45.391759,0.105054
-29.327022,-378.826776,-46.293916,0.114449
-26.588921,-375.484079,-45.612911,0.090544
-27.239406,-377.664822,-46.698638,0.103839
-24.866465,-374.989430,-46.703437,0.089221
-25.503838,-376.717210,-47.317391,0.097015
-22.412864,-382.798246,-54.491933,0.151804
-24.127421,-383.669546,-53.464628,0.157206
-47.991582,-383.486546,-54.307398,0.166897
-47.304937,-383.376419,-52.566612,0.178816
-49.306771,-382.099268,-55.083695,0.183786
-48.753579,-382.152510,-53.267681,0.148572
-50.191978,-380.774293,-55.056451,0.180746
-49.696201,-381.122428,-53.906686,0.179817
-50.999321,-379.392940,-55.025959,0.187637
-50.432606,-379.853391,-53.716080,0.176223
-51.322299,-377.953680,-53.772668,0.169208
-50.694387,-377.208856,-52.154017,0.179691
-50.210796,-378.959380,-52.240843,0.154771
-49.731614,-376.248983,-50.801949,0.156803
-49.429216,-378.019371,-50.834766,0.159312
-48.677169,-374.955003,-49.845094,0.150770
-48.369508,-376.903170,-49.717455,0.136568
-47.514464,-373.569162,-49.162516,0.131663
-47.214604,-375.725435,-48.796946,0.131911
-46.119739,-372.359354,-48.560035,0.121907
-45.851854,-374.505199,-48.083152,0.120653
-44.967621,-370.863731,-48.600039,0.121334
-44.213155,-373.054162,-47.536173,0.117344
-35.586381,-375.613165,-44.694271,0.122378
-33.642883,-376.195063,-44.579383,0.118983
-34.239305,-374.083437,-44.237587,0.118658
-32.336310,-375.412542,-44.351073,0.114551
-32.417985,-373.405879,-44.129608,0.119795
-30.261085,-373.588158,-44.288566,0.108025
-44.546177,-369.148153,-49.231614,0.127330
-43.239981,-370.455214,-47.803739,0.125285
-44.754912,-367.680507,-50.487632,0.144376
-43.261777,-367.819124,-48.976176,0.143970
-45.063070,-366.650217,-52.117542,0.160419
-43.771832,-366.297244,-50.946185,0.142496
-45.704859,-366.323448,-53.841708,0.135984
-44.225482,-365.528362,-52.854392,0.157335
-47.006342,-366.735917,-55.143651,0.136207
-45.714073,-365.854064,-55.372590,0.143460
-44.554369,-365.250089,-54.707982,0.143371
-48.612636,-367.756046,-55.613393,0.159180
-47.813465,-366.738520,-57.042305,0.143681
-46.317134,-365.929962,-56.759092,0.134743
-50.120056,-368.716008,-56.194321,0.161538
-49.263022,-367.718325,-57.534741,0.169331
-51.196655,-369.713440,-57.425740,0.169129
-50.594427,-368.826394,-58.296883,0.189455
-51.728087,-371.626708,-57.706172,0.186308
-51.353107,-370.482476,-58.961547,0.185597
-51.961663,-373.627465,-57.794907,0.178122
-51.653590,-372.496285,-59.286620,0.195352
-51.879719,-375.629499,-57.772813,0.195919
-51.632076,-374.566439,-59.383634,0.195802
-51.463662,-377.631370,-57.727591,0.166639
-51.312916,-376.523596,-59.310838,0.191701
-50.733387,-379.328647,-58.282906,0.205095
-50.944381,-378.082857,-59.219000,0.181791
-49.613782,-380.751617,-59.122301,0.183732
-50.192697,-379.259944,-59.940318,0.169030
-49.025225,-380.581787,-60.452904,0.160676
-47.826390,-381.948305,-60.863844,0.187932
