-27.333823,-719.127883,-50.527698
-28.371580,-719.579637,-48.891671
-28.919346,-719.168429,-50.281369
-26.988962,-719.201898,-49.281363
-26.879272,-718.478650,-57.231823
-26.031668,-719.219095,-59.000211
-25.667892,-718.638415,-57.656440
-22.607957,-716.401738,-69.863881
-23.835517,-718.049305,-71.502217
-23.163446,-716.927814,-71.817268
-23.708183,-718.414563,-69.133817
-22.209093,-715.787295,-67.911691
-22.665684,-717.150908,-66.703394
-24.503837,-719.567206,-67.218386
-23.139737,-718.490840,-65.437250
-25.249928,-720.131175,-65.488565
-23.769238,-719.437193,-64.022399
-26.062413,-720.152349,-63.705608
-24.495940,-719.832605,-62.319821
-26.886519,-719.867098,-61.937625
-25.323306,-719.708872,-60.658497
-27.693450,-719.365906,-60.208250
-28.488763,-718.671463,-58.542860
-29.297325,-718.066688,-56.841666
-27.786434,-717.939264,-55.435271
-30.109253,-717.763130,-55.094596
-28.561480,-718.068837,-53.502506
-30.900941,-717.927938,-53.295232
-23.914887,-717.187803,-73.740660
-30.575635,-719.047228,-50.442196
-29.379040,-718.717375,-51.679708
-31.568733,-718.517000,-51.758558
-32.227737,-719.134240,-50.229623
-30.614949,-719.694543,-48.715538
-32.878309,-719.773469,-48.705098
-33.521666,-590.891322,-74.882271
-31.642720,-589.958918,-76.101146
-31.777480,-591.813115,-76.012887
-32.618658,-588.984915,-75.433923
-33.297989,-592.879482,-75.092169
-31.560904,-593.770038,-76.020651
-33.124196,-594.873782,-75.201062
-31.341309,-595.730173,-76.087059
-32.848779,-596.826864,-75.533164
-31.110362,-597.732445,-76.196978
-32.616213,-598.796307,-75.772307
-30.921501,-599.742154,-76.233847
-32.455408,-600.790344,-75.868103
-30.782180,-601.759480,-76.195996
-32.345142,-602.788637,-75.829182
-30.670134,-603.767027,-76.144678
-32.240069,-604.786707,-75.782958
-30.557975,-605.774953,-76.100112
-32.136527,-606.784780,-75.735782
-30.416440,-607.791463,-76.049299
-32.016695,-608.784264,-75.724124
-30.202376,-609.795381,-76.000365
-31.884434,-610.784835,-75.739748
-30.019949,-611.752414,-75.987834
-31.745003,-612.776089,-75.772489
-29.936541,-613.722411,-75.962715
-31.612659,-614.776667,-75.788295
-29.857031,-615.743648,-75.954923
-31.488850,-616.776499,-75.785367
-29.752912,-617.743177,-75.933817
-31.369101,-618.775976,-75.773527
-29.651619,-619.752758,-75.911398
-31.243374,-620.766017,-75.775943
-29.546089,-621.752055,-75.887129
-31.095288,-622.767973,-75.826308
-29.423620,-623.763271,-75.907339
-30.936675,-624.760904,-75.901155
-29.265606,-625.783406,-75.931234
-30.772925,-626.754285,-75.987280
-29.072252,-627.810273,-75.920069
-30.635701,-628.755304,-76.014040
-28.868330,-629.815528,-75.888128
-30.511639,-630.745213,-76.013042
-28.685333,-631.799294,-75.817093
-30.398740,-632.747074,-75.985753
-28.531396,-633.782498,-75.734907
-30.275750,-634.744846,-75.981302
-28.411186,-635.762001,-75.706939
-30.154505,-636.743459,-75.972883
-28.332697,-637.748541,-75.652173
-30.037734,-638.741681,-75.954642
-28.274664,-639.741714,-75.595025
-29.916688,-640.740263,-75.945545
-28.221234,-641.739122,-75.574223
-29.799420,-642.738528,-75.928396
-28.177636,-643.741255,-75.541986
-29.685969,-644.737454,-75.902732
-28.139773,-645.749126,-75.483435
-29.572802,-646.735361,-75.876579
-28.090451,-647.763038,-75.432838
-29.465942,-648.734705,-75.836308
-28.027840,-649.779131,-75.376320
-29.364301,-650.733592,-75.784578
-27.966403,-651.791003,-75.279930
-29.268088,-652.732005,-75.720935
-27.897708,-653.801602,-75.183473
-29.170011,-654.730580,-75.661384
-27.820093,-655.813377,-75.113585
-29.073093,-656.729055,-75.599287
-27.723457,-657.849464,-75.007563
-28.983182,-658.727910,-75.521672
-27.567912,-659.875360,-74.830798
-28.894016,-660.726701,-75.442421
-27.394554,-661.845035,-74.681696
-28.809283,-662.725104,-75.353439
-27.313176,-663.799123,-74.533661
-28.734119,-664.722670,-75.243450
-27.274119,-665.777268,-74.393501
-28.661856,-666.719982,-75.127094
-27.270861,-667.733355,-74.282953
-28.589717,-668.717283,-75.010465
-27.316692,-669.718553,-74.211970
-28.516998,-670.714635,-74.895110
-27.313187,-671.765366,-74.093075
-28.444404,-672.711976,-74.779482
-27.248759,-673.762211,-73.963374
-28.369945,-674.709480,-74.667946
-27.219935,-675.752134,-73.829825
-28.291757,-676.707311,-74.564595
-27.196613,-677.729643,-73.703565
-28.210711,-678.705391,-74.467519
-27.208771,-679.682580,-73.668889
-28.127221,-680.703685,-74.375809
-26.374720,-680.843280,-72.992537
-27.183833,-681.784510,-73.616876
-28.038884,-682.702403,-74.294739
-26.215546,-682.808169,-72.767398
-27.058249,-683.817777,-73.444559
-27.945819,-684.700540,-74.224184
-26.016817,-684.792993,-72.530703
-26.934783,-685.782830,-73.340581
-27.848860,-686.699018,-74.162178
-26.838306,-687.755243,-73.260480
-27.740872,-688.696472,-74.124657
-26.661921,-689.645519,-73.180238
-27.394495,-690.663433,-74.022640
-26.399182,-691.479320,-73.150107
-27.027464,-692.605582,-73.991483
-25.522028,-692.818753,-72.224550
-26.285210,-694.001947,-73.239908
-27.165763,-694.573469,-74.333106
-26.214528,-695.838483,-73.380616
-27.066833,-696.559773,-74.535139
-25.973070,-697.728951,-73.487673
-26.861219,-698.540713,-74.711988
-25.764019,-699.502641,-73.706073
-26.620467,-700.510682,-74.983447
-25.637773,-701.254588,-74.141303
-26.326569,-702.454100,-75.351609
-24.742434,-702.542939,-73.652744
-25.155557,-703.843037,-74.606679
-24.706143,-700.688766,-72.934333
-24.753948,-698.800102,-72.348412
-25.190442,-696.827693,-72.366345
-25.404885,-694.826689,-72.307245
-25.651570,-690.810958,-72.260096
-25.795021,-688.806122,-72.338807
-25.940934,-686.801932,-72.445003
-31.490840,-587.862179,-76.342245
-33.765785,-588.939545,-74.593588
-33.136359,-587.145258,-75.530731
-31.573559,-586.095757,-76.599749
-32.805741,-585.157272,-76.038713
-31.593353,-584.298261,-76.703594
-26.137154,-678.842781,-72.847585
-26.114836,-676.836423,-72.972017
-26.101351,-674.829499,-73.116109
-26.093703,-672.823389,-73.270745
-26.172573,-670.822674,-73.464249
-25.990949,-668.834023,-73.474280
-25.845451,-666.841390,-73.514342
-25.864384,-664.834092,-73.683773
-25.867709,-662.830034,-73.832110
-26.038762,-660.839616,-74.076543
-26.347946,-658.867075,-74.351959
